sq_mt_built,sq_mt_built_imputed_flag,n_rooms,n_bathrooms,n_bathrooms_imputed_flag,n_floors,n_floors_imputed_flag,street_name,floor,floor_imputed_flag,is_floor_under,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,is_new_development_imputed_flag,built_year,built_year_imputed_flag,has_ac,has_fitted_wardrobes,has_lift,has_lift_imputed_flag,is_exterior,is_exterior_imputed_flag,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,house_type_cat,house_type_name,neighborhood_code,neighborhood_name,neighborhood_price_sqm,district_code,district_name,heating_type
64.0,0,2,1.0,0,0.0,1,Calle de Godella,3,0,False,85000,1328,False,False,0,1960.0,0,True,False,False,0,True,0,,,,,,,,D,False,,,False,True,False,False,1,Pisos,135,San Cristóbal,1308.89,21,Villaverde,unknown
70.0,0,3,1.0,0,0.0,1,Calle de la del Manojo de Rosas,4,0,False,129900,1856,True,False,0,1965.0,1,False,True,True,0,True,0,,,True,,,,,en trámite,False,,,,,,,1,Pisos,132,Los Ángeles,1796.68,21,Villaverde,unknown
94.0,0,2,2.0,0,0.0,1,Calle del Talco,1,0,False,144247,1535,False,False,0,1965.0,1,False,True,True,0,True,0,,,,,True,,,no indicado,False,,,,,,,1,Pisos,134,San Andrés,1617.18,21,Villaverde,individual
64.0,0,2,1.0,0,0.0,1,Calle Pedro Jiménez,Bajo,0,True,109900,1717,False,False,0,1955.0,0,False,False,True,0,True,0,,,,,True,True,,en trámite,False,,,False,False,True,False,1,Pisos,134,San Andrés,1617.18,21,Villaverde,unknown
108.0,0,2,2.0,0,0.0,1,Carretera de Villaverde a Vallecas,4,0,False,260000,2407,False,False,0,2003.0,0,True,True,True,0,True,0,,True,,,True,,True,en trámite,True,True,0.0,True,True,True,True,1,Pisos,133,Los Rosales,1827.79,21,Villaverde,unknown
126.0,0,4,2.0,0,0.0,1,geologia,3,0,False,195000,1548,False,False,0,1981.0,0,False,False,False,0,True,0,,,True,True,,True,,en trámite,True,True,0.0,False,False,False,True,1,Pisos,134,San Andrés,1617.18,21,Villaverde,individual
120.0,0,5,2.0,0,0.0,1,Avenida Real de Pinto,1,0,False,190000,1583,False,False,0,1965.0,1,True,True,False,0,True,0,,True,True,True,True,,True,F,True,True,0.0,False,False,True,False,1,Pisos,134,San Andrés,1617.18,21,Villaverde,individual
125.0,0,3,2.0,0,0.0,1,San Andrés,2,0,False,198500,1588,False,False,0,1965.0,1,True,True,False,0,True,0,,,True,,,,,no indicado,False,,,False,False,True,False,1,Pisos,134,San Andrés,1617.18,21,Villaverde,unknown
84.0,0,3,2.0,0,0.0,1,Butarque,0,1,False,212000,2524,False,False,0,2003.0,1,True,True,True,0,True,0,,True,,,True,True,True,F,True,True,0.0,,,,,1,Pisos,131,Butarque,2197.8,21,Villaverde,unknown
85.0,0,2,1.0,0,0.0,1,Calle de Martinez Oviol,7,0,False,131400,1546,True,False,0,1950.0,0,False,False,False,0,True,0,,,True,,,,,en trámite,False,,,False,True,False,False,1,Pisos,133,Los Rosales,1827.79,21,Villaverde,individual
